,0
0,-3.3
1,1.7
2,6.7
3,10.6
4,16.5
5,20.6
6,24.8
7,26.2
8,20.8
9,15.1
10,7.1
11,-1.9
12,0.6
13,6.4
14,12.0
15,16.7
16,21.9
17,25.4
18,28.9
19,31.2
20,25.4
21,21.1
22,11.7
23,2.3
24,4.6
25,4.0
26,113.6
27,19.0
28,135.4
29,296.9
30,313.2
31,138.1
32,63.5
33,7.9
34,76.5
35,15.7
36,-5.2
37,-0.9
38,5.4
39,11.7
40,17.3
41,21.9
42,26.2
43,26.8
44,21.5
45,15.6
46,8.9
47,-0.7
48,-1.2
49,3.8
50,11.1
51,17.4
52,22.9
53,26.7
54,30.1
55,31.0
56,26.2
57,20.8
58,13.6
59,3.7
60,18.0
61,8.8
62,40.8
63,102.2
64,123.6
65,77.7
66,267.8
67,360.6
68,295.1
69,48.6
70,57.8
71,35.6
72,-3.4
73,-0.7
74,3.2
75,10.0
76,17.6
77,21.1
78,26.1
79,25.1
80,20.3
81,13.6
82,6.4
83,1.1
84,0.9
85,4.2
86,7.9
87,15.1
88,23.8
89,26.4
90,30.5
91,29.2
92,24.7
93,19.1
94,10.5
95,5.5
96,1.2
97,25.7
98,18.5
99,91.6
100,12.5
101,110.3
102,180.0
103,193.2
104,236.4
105,36.8
106,52.2
107,27.8
108,-9.2
109,-2.5
110,5.5
111,11.4
112,16.9
113,21.2
114,24.5
115,25.7
116,20.5
117,13.5
118,6.5
119,0.8
120,-4.8
121,2.4
122,11.4
123,15.7
124,21.8
125,26.0
126,28.0
127,30.1
128,25.5
129,19.5
130,11.3
131,5.1
132,13.3
133,2.6
134,57.3
135,221.1
136,186.7
137,383.7
138,513.6
139,126.5
140,50.1
141,32.1
142,26.8
143,12.8
144,-0.1
145,-3.5
146,3.8
147,14.1
148,18.6
149,21.6
150,24.7
151,26.3
152,20.3
153,13.8
154,6.3
155,0.2
156,3.8
157,0.4
158,8.5
159,18.6
160,24.2
161,26.5
162,28.3
163,30.4
164,24.6
165,19.2
166,11.0
167,4.7
168,20.3
169,27.1
170,37.3
171,338.8
172,83.3
173,112.5
174,504.5
175,220.3
176,378.9
177,40.6
178,25.2
179,5.2
180,-4.2
181,-1.2
182,2.7
183,10.3
184,17.3
185,22.1
186,24.1
187,24.4
188,20.9
189,14.8
190,7.0
191,-2.0
192,-0.2
193,3.2
